Gradient Profiler Text Data File: 4.24.140214_r1_s1.csv
Date: 2014-02-14
Time: 17:32:53

User: MK
Experiment name: test
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: 11 10.0% to 50.0% w/v
Time: 3
w2t: 1 x 10^0
Sample Volume: 0.9 ml
Number of Tubes: 6
Volume per mm: 0.143 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: Event Mark Delay
UV Wavelength: 254 nm
Samples / sec: 12 Hz
EM1 Speed: 0.20 mm/sec
Distance: 72.00 mm
Number: 1
Dead Volume: 0.241868 ml; Distance due to Dead Volume: 1.69 mm
Total Distance: 72.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
6.53, 0.130014, , 
6.54, 0.129332, , 
6.56, 0.128459, , 
6.58, 0.127615, , 
6.59, 0.126695, , 
6.61, 0.125811, , 
6.63, 0.125184, , 
6.64, 0.124605, , 
6.66, 0.123979, , 
6.68, 0.123218, , 
6.69, 0.122575, , 
6.71, 0.122139, , 
6.73, 0.121675, , 
6.74, 0.121049, , 
6.76, 0.120185, , 
6.78, 0.119392, , 
6.79, 0.118888, , 
6.81, 0.118468, , 
6.83, 0.118020, , 
6.84, 0.117417, , 
6.86, 0.116925, , 
6.88, 0.116454, , 
6.89, 0.115835, , 
6.91, 0.114800, , 
6.93, 0.113409, , 
6.94, 0.112156, , 
6.96, 0.111494, , 
6.98, 0.111045, , 
6.99, 0.110371, , 
7.01, 0.109654, , 
7.03, 0.109079, , 
7.04, 0.108932, , 
7.06, 0.108924, , 
7.08, 0.108631, , 
7.09, 0.108298, , 
7.11, 0.108123, , 
7.13, 0.107782, , 
7.14, 0.107176, , 
7.16, 0.106518, , 
7.18, 0.106069, , 
7.20, 0.105729, , 
7.21, 0.105233, , 
7.23, 0.104606, , 
7.24, 0.103821, , 
7.26, 0.103215, , 
7.28, 0.102826, , 
7.29, 0.102565, , 
7.31, 0.102255, , 
7.33, 0.101974, , 
7.34, 0.101700, , 
7.36, 0.101220, , 
7.38, 0.100649, , 
7.39, 0.100090, , 
7.41, 0.099706, , 
7.43, 0.099408, , 
7.44, 0.098861, , 
7.46, 0.098203, , 
7.48, 0.097533, , 
7.49, 0.097188, , 
7.51, 0.097037, , 
7.53, 0.096712, , 
7.54, 0.096260, , 
7.56, 0.095765, , 
7.58, 0.095404, , 
7.60, 0.094988, , 
7.61, 0.094579, , 
7.63, 0.094048, , 
7.64, 0.093540, , 
7.66, 0.092942, , 
7.68, 0.092153, , 
7.69, 0.091716, , 
7.71, 0.091443, , 
7.73, 0.091272, , 
7.74, 0.091165, , 
7.76, 0.090856, , 
7.78, 0.090345, , 
7.79, 0.089805, , 
7.81, 0.089417, , 
7.83, 0.089227, , 
7.84, 0.088921, , 
7.86, 0.088449, , 
7.88, 0.087958, , 
7.89, 0.087601, , 
7.91, 0.087419, , 
7.93, 0.086994, , 
7.94, 0.086518, , 
7.96, 0.086118, , 
7.98, 0.085948, , 
8.00, 0.085710, , 
8.01, 0.085381, , 
8.03, 0.085004, , 
8.04, 0.084663, , 
8.06, 0.084540, , 
8.08, 0.084342, , 
8.09, 0.083929, , 
8.11, 0.083541, , 
8.13, 0.083315, , 
8.14, 0.083069, , 
8.16, 0.082680, , 
8.18, 0.082173, , 
8.19, 0.081661, , 
8.21, 0.081435, , 
8.23, 0.081408, , 
8.24, 0.080983, , 
8.26, 0.080468, , 
8.28, 0.080083, , 
8.29, 0.079961, , 
8.31, 0.079921, , 
8.33, 0.079655, , 
8.34, 0.079306, , 
8.36, 0.079021, , 
8.38, 0.078712, , 
8.39, 0.078232, , 
8.41, 0.077748, , 
8.43, 0.077360, , 
8.44, 0.077189, , 
8.46, 0.077134, , 
8.48, 0.076745, , 
8.49, 0.076210, , 
8.51, 0.075829, , 
8.53, 0.075797, , 
8.54, 0.075746, , 
8.56, 0.075278, , 
8.58, 0.074604, , 
8.59, 0.074124, , 
8.61, 0.073997, , 
8.63, 0.074021, , 
8.64, 0.073843, , 
8.66, 0.073521, , 
8.68, 0.073101, , 
8.69, 0.072407, , 
8.71, 0.071789, , 
8.73, 0.071511, , 
8.74, 0.071293, , 
8.76, 0.071293, , 
8.78, 0.071214, , 
8.79, 0.070917, , 
8.81, 0.070714, , 
8.83, 0.070671, , 
8.84, 0.070647, , 
8.86, 0.070560, , 
8.88, 0.070187, , 
8.89, 0.069818, , 
8.91, 0.069553, , 
8.93, 0.069410, , 
8.94, 0.069287, , 
8.96, 0.068700, , 
8.98, 0.068070, , 
8.99, 0.067721, , 
9.01, 0.067645, , 
9.03, 0.067717, , 
9.04, 0.067681, , 
9.06, 0.067530, , 
9.08, 0.067400, , 
9.09, 0.067368, , 
9.11, 0.067186, , 
9.13, 0.066817, , 
9.14, 0.066500, , 
9.16, 0.066309, , 
9.18, 0.066103, , 
9.19, 0.065699, , 
9.21, 0.065405, , 
9.23, 0.065358, , 
9.24, 0.065255, , 
9.26, 0.065128, , 
9.28, 0.064878, , 
9.29, 0.064573, , 
9.31, 0.064323, , 
9.33, 0.064220, , 
9.34, 0.064160, , 
9.36, 0.063847, , 
9.38, 0.063451, , 
9.39, 0.063205, , 
9.41, 0.063122, , 
9.43, 0.063102, , 
9.44, 0.062931, , 
9.46, 0.062844, , 
9.48, 0.062852, , 
9.49, 0.062757, , 
9.51, 0.062451, , 
9.53, 0.062071, , 
9.54, 0.061825, , 
9.56, 0.061765, , 
9.58, 0.061583, , 
9.59, 0.061286, , 
9.61, 0.061020, , 
9.63, 0.061016, , 
9.64, 0.061139, , 
9.66, 0.061282, , 
9.68, 0.061183, , 
9.69, 0.060976, , 
9.71, 0.060854, , 
9.73, 0.060727, , 
9.75, 0.060378, , 
9.76, 0.060065, , 
9.78, 0.059839, , 
9.79, 0.059807, , 
9.81, 0.059728, , 
9.83, 0.059482, , 
9.84, 0.059208, , 
9.86, 0.059026, , 
9.88, 0.058923, , 
9.89, 0.058788, , 
9.91, 0.058498, , 
9.93, 0.058237, , 
9.94, 0.058035, , 
9.96, 0.057896, , 
9.98, 0.057713, , 
9.99, 0.057424, , 
10.01, 0.057289, , 
10.03, 0.057329, , 
10.04, 0.057404, , 
10.06, 0.057440, , 
10.08, 0.057317, , 
10.09, 0.057075, , 
10.11, 0.056952, , 
10.13, 0.056980, , 
10.15, 0.056885, , 
10.16, 0.056611, , 
10.18, 0.056357, , 
10.19, 0.056326, , 
10.21, 0.056278, , 
10.23, 0.056159, , 
10.24, 0.055858, , 
10.26, 0.055663, , 
10.28, 0.055778, , 
10.29, 0.055901, , 
10.31, 0.055818, , 
10.33, 0.055616, , 
10.34, 0.055529, , 
10.36, 0.055671, , 
10.38, 0.055663, , 
10.39, 0.055160, , 
10.41, 0.054966, , 
10.43, 0.055049, , 
10.44, 0.055136, , 
10.46, 0.055188, , 
10.48, 0.055168, , 
10.49, 0.055112, , 
10.51, 0.055097, , 
10.53, 0.055077, , 
10.54, 0.054871, , 
10.56, 0.054660, , 
10.58, 0.054637, , 
10.59, 0.054811, , 
10.61, 0.054910, , 
10.63, 0.054775, , 
10.64, 0.054645, , 
10.66, 0.054688, , 
10.68, 0.054811, , 
10.69, 0.054843, , 
10.71, 0.054759, , 
10.73, 0.054676, , 
10.74, 0.054728, , 
10.76, 0.054720, , 
10.78, 0.054474, , 
10.79, 0.054296, , 
10.81, 0.054280, , 
10.83, 0.054549, , 
10.84, 0.054748, , 
10.86, 0.054724, , 
10.88, 0.054641, , 
10.89, 0.054668, , 
10.91, 0.054819, , 
10.93, 0.055005, , 
10.94, 0.055021, , 
10.96, 0.055001, , 
10.98, 0.055108, , 
10.99, 0.055323, , 
11.01, 0.055410, , 
11.03, 0.055231, , 
11.04, 0.055073, , 
11.06, 0.055156, , 
11.08, 0.055319, , 
11.09, 0.055426, , 
11.11, 0.055501, , 
11.13, 0.055521, , 
11.14, 0.055592, , 
11.16, 0.055735, , 
11.18, 0.055715, , 
11.19, 0.055624, , 
11.21, 0.055612, , 
11.23, 0.055782, , 
11.24, 0.055663, , 
11.26, 0.055168, , 
11.28, 0.054985, , 
11.29, 0.055152, , 
11.31, 0.055576, , 
11.33, 0.055933, , 
11.34, 0.055993, , 
11.36, 0.055901, , 
11.38, 0.055949, , 
11.39, 0.056195, , 
11.41, 0.056433, , 
11.43, 0.056544, , 
11.44, 0.056556, , 
11.46, 0.056702, , 
11.48, 0.056908, , 
11.49, 0.056968, , 
11.51, 0.057019, , 
11.53, 0.057095, , 
11.54, 0.057285, , 
11.56, 0.057531, , 
11.58, 0.057571, , 
11.59, 0.057495, , 
11.61, 0.057519, , 
11.63, 0.057832, , 
11.64, 0.058118, , 
11.66, 0.058098, , 
11.68, 0.058066, , 
11.69, 0.058308, , 
11.71, 0.058598, , 
11.73, 0.058677, , 
11.74, 0.058649, , 
11.76, 0.058629, , 
11.78, 0.058744, , 
11.79, 0.058942, , 
11.81, 0.059042, , 
11.83, 0.059038, , 
11.84, 0.059081, , 
11.86, 0.059212, , 
11.88, 0.059355, , 
11.90, 0.059398, , 
11.91, 0.059482, , 
11.93, 0.059597, , 
11.94, 0.059728, , 
11.96, 0.059815, , 
11.98, 0.059843, , 
11.99, 0.059854, , 
12.01, 0.060029, , 
12.03, 0.060342, , 
12.04, 0.060524, , 
12.06, 0.060497, , 
12.08, 0.060521, , 
12.09, 0.060635, , 
12.11, 0.060822, , 
12.13, 0.060854, , 
12.14, 0.060766, , 
12.16, 0.060624, , 
12.18, 0.060560, , 
12.19, 0.060643, , 
12.21, 0.060683, , 
12.23, 0.060861, , 
12.24, 0.060933, , 
12.26, 0.061040, , 
12.28, 0.061091, , 
12.30, 0.061076, , 
12.31, 0.061230, , 
12.33, 0.061520, , 
12.34, 0.061801, , 
12.36, 0.061948, , 
12.38, 0.061948, , 
12.39, 0.061892, , 
12.41, 0.061960, , 
12.43, 0.062297, , 
12.44, 0.062539, , 
12.46, 0.062602, , 
12.48, 0.062614, , 
12.49, 0.062670, , 
12.51, 0.062769, , 
12.53, 0.062856, , 
12.54, 0.062955, , 
12.56, 0.063118, , 
12.58, 0.063264, , 
12.59, 0.063324, , 
12.61, 0.063324, , 
12.63, 0.063344, , 
12.64, 0.063498, , 
12.66, 0.063720, , 
12.68, 0.063708, , 
12.70, 0.063566, , 
12.71, 0.063613, , 
12.73, 0.063843, , 
12.74, 0.064097, , 
12.76, 0.064200, , 
12.78, 0.064129, , 
12.79, 0.064053, , 
12.81, 0.064137, , 
12.83, 0.064422, , 
12.84, 0.064505, , 
12.86, 0.064521, , 
12.88, 0.064632, , 
12.89, 0.064731, , 
12.91, 0.064858, , 
12.93, 0.064826, , 
12.94, 0.064489, , 
12.96, 0.063776, , 
12.98, 0.063518, , 
12.99, 0.063502, , 
13.01, 0.063205, , 
